entry_name	accession	gene_symbol	msa_file
AP2M1_HUMAN	Q96CW1	AP2M1	AP2M1_HUMAN_b03.a2m
AP2S1_HUMAN	P53680	AP2S1	AP2S1_HUMAN_b03.a2m
AP4B1_HUMAN	Q9Y6B7	AP4B1	AP4B1_HUMAN_b03.a2m
AP4M1_HUMAN	O00189	AP4M1	AP4M1_HUMAN_b03.a2m
AP4S1_HUMAN	Q9Y587	AP4S1	AP4S1_HUMAN_b03.a2m
AP5Z1_HUMAN	O43299	AP5Z1	AP5Z1_HUMAN_b01.a2m
APCD1_HUMAN	Q8J025	APCDD1	APCD1_HUMAN_b03.a2m
APC_HUMAN	P25054	APC	APC_HUMAN_b01.a2m
APOA1_HUMAN	P02647	APOA1	APOA1_HUMAN_b03.a2m
APOA4_HUMAN	P06727	APOA4	APOA4_HUMAN_b03.a2m
APOB_HUMAN	P04114	APOB	APOB_HUMAN_b01.a2m
APOC2_HUMAN	P02655	APOC2	APOC2_HUMAN_b03.a2m
APOC3_HUMAN	P02656	APOC3	APOC3_HUMAN_b03.a2m
APOE_HUMAN	P02649	APOE	APOE_HUMAN_b03.a2m
APOH_HUMAN	P02749	APOH	APOH_HUMAN_b03.a2m
APRIO_HUMAN	F7VJQ1	PRNP	APRIO_HUMAN_b01.a2m
APTX_HUMAN	Q7Z2E3	APTX	APTX_HUMAN_b01.a2m
APT_HUMAN	P07741	APRT	APT_HUMAN_b03.a2m
AQP1_HUMAN	P29972	AQP1	AQP1_HUMAN_b01.a2m
AQP2_HUMAN	P41181	AQP2	AQP2_HUMAN_b01.a2m
AQP4_HUMAN	P55087	AQP4	AQP4_HUMAN_b01.a2m
AQP5_HUMAN	P55064	AQP5	AQP5_HUMAN_b01.a2m
AR13B_HUMAN	Q3SXY8	ARL13B	AR13B_HUMAN_b05.a2m
AR2BP_HUMAN	Q9Y2Y0	ARL2BP	AR2BP_HUMAN_b03.a2m
ARC1B_HUMAN	O15143	ARPC1B	ARC1B_HUMAN_b03.a2m
ARF1_HUMAN	P84077	ARF1	ARF1_HUMAN_b03.a2m
ARF_HUMAN	Q8N726	CDKN2A	ARF_HUMAN_b01.a2m
ARGAL_HUMAN	Q9HCE6	ARHGEF10L	ARGAL_HUMAN_b05.a2m
ARGI1_HUMAN	P05089	ARG1	ARGI1_HUMAN_b03.a2m
ARHG6_HUMAN	Q15052	ARHGEF6	ARHG6_HUMAN_b03.a2m
ARHG9_HUMAN	O43307	ARHGEF9	ARHG9_HUMAN_b03.a2m
ARH_HUMAN	Q5SW96	LDLRAP1	ARH_HUMAN_b01.a2m
ARI1A_HUMAN	O14497	ARID1A	ARI1A_HUMAN_b01.a2m
ARI1B_HUMAN	Q8NFD5	ARID1B	ARI1B_HUMAN_b03.a2m
ARL16_HUMAN	Q0P5N6	ARL16	ARL16_HUMAN_b03.a2m
ARL3_HUMAN	P36405	ARL3	ARL3_HUMAN_b03.a2m
ARL6_HUMAN	Q9H0F7	ARL6	ARL6_HUMAN_b03.a2m
ARLY_HUMAN	P04424	ASL	ARLY_HUMAN_b07.a2m
ARMC4_HUMAN	NA	NA	ARMC4_HUMAN_b10.a2m
ARMC5_HUMAN	Q96C12	ARMC5	ARMC5_HUMAN_b03.a2m
ARRC_HUMAN	P36575	ARR3	ARRC_HUMAN_b03.a2m
ARRS_HUMAN	P10523	SAG	ARRS_HUMAN_b03.a2m
ARSA_HUMAN	P15289	ARSA	ARSA_HUMAN_b10.a2m
ARSB_HUMAN	P15848	ARSB	ARSB_HUMAN_b03.a2m
ARSG_HUMAN	Q96EG1	ARSG	ARSG_HUMAN_b03.a2m
ARSL_HUMAN	P51690	ARSL	ARSL_HUMAN_b03.a2m
ARV1_HUMAN	Q9H2C2	ARV1	ARV1_HUMAN_b01.a2m
ARX_HUMAN	Q96QS3	ARX	ARX_HUMAN_b03.a2m
ASAH1_HUMAN	Q13510	ASAH1	ASAH1_HUMAN_b03.a2m
ASCC1_HUMAN	Q8N9N2	ASCC1	ASCC1_HUMAN_b01.a2m
ASCL1_HUMAN	P50553	ASCL1	ASCL1_HUMAN_b01.a2m
ASH2L_HUMAN	Q9UBL3	ASH2L	ASH2L_HUMAN_b01.a2m
ASIC5_HUMAN	Q9NY37	ASIC5	ASIC5_HUMAN_b03.a2m
ASM_HUMAN	P17405	SMPD1	ASM_HUMAN_b01.a2m
ASNS_HUMAN	P08243	ASNS	ASNS_HUMAN_b01.a2m
ASPG_HUMAN	P20933	AGA	ASPG_HUMAN_b01.a2m
